Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
JSR223 Sampler,57536,530,7,10894,"1032,65","23,031%","184,95088","7,65","0,00","42,3"
TOTAL,57536,530,7,10894,"1032,65","23,031%","184,95088","7,65","0,00","42,3"
