Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
BeanShell Sampler,199908,152,3,6668,"349,69","20,778%","655,82096","27,91","0,00","43,6"
TOTAL,199908,152,3,6668,"349,69","20,778%","655,82096","27,91","0,00","43,6"
